1,4065, [0.5665614008903503 0.23011544346809387 0.3904547393321991 0.6061590909957886 -0.20160074532032013]
10003,190, [-0.18647420406341553 0.4297941029071808 0.14794668555259705 0.48966553807258606 -0.06267216056585312]
1001,1, [0.2121850848197937 -0.23973439633846283 0.008199396543204784 0.4605627954006195 0.340652197599411]
10017,1, [-0.01698790304362774 -0.1208839863538742 -0.03945121169090271 0.13386119902133942 -0.06335389614105225]
100201,1, [-0.059220608323812485 -0.20463880896568298 0.30013853311538696 0.3147360682487488 0.2807105481624603]
100206,2, [-0.003945969510823488 -0.34128597378730774 0.41423681378364563 0.2428278923034668 0.3988686501979828]
100242,2, [0.5206834077835083 -0.11867053806781769 0.0847606211900711 0.05016597360372543 -0.37198972702026367]
10035,185, [-0.6754695177078247 0.05902959406375885 0.38526028394699097 -0.807205855846405 -1.4141428470611572]
10058,20, [-0.3289337158203125 -0.19031670689582825 0.512427031993866 -0.1014513224363327 0.29078829288482666]
10062,1, [-0.043779157102108 -0.17998075485229492 -0.30992844700813293 0.31628113985061646 0.1363953948020935]
10071,1, [-0.45304369926452637 -0.09005676209926605 0.5276563763618469 -0.7200673222541809 0.6990044713020325]
10094,5, [-0.38620704412460327 -0.9137016534805298 -0.3968212902545929 0.616558849811554 0.060983382165431976]
10099,30, [-0.20126648247241974 -0.5227906107902527 -0.2745497524738312 0.16753411293029785 0.30909278988838196]
1010,3, [-0.3111276924610138 -0.015388064086437225 0.2264581024646759 0.3743360936641693 -0.3222774267196655]
10102,12, [-1.2572969198226929 0.728726327419281 0.36385196447372437 -0.8170061707496643 0.1921103596687317]
10107,70, [-0.5570700168609619 0.8827295303344727 0.7935745120048523 -0.006719703786075115 -0.1440628170967102]
10134,4, [-0.09647178649902344 -0.1365012377500534 -0.19295057654380798 -0.10390032827854156 0.16125431656837463]
10143,1, [-0.006868558935821056 0.016928844153881073 3.130389377474785E-4 -0.003925992175936699 -0.1088162213563919]
10170,1, [-0.06327489018440247 -0.02506144531071186 -0.10623026639223099 0.0873752236366272 0.009614885784685612]
